Date,yhat,yhat_lower,yhat_upper
2024-04-24,182356.6379177316,167833.9341555282,195625.40255215016
2024-04-25,181987.55634215503,167405.58415396104,195740.1396566894
2024-04-26,181819.50135849792,167316.7071018699,195956.3658942104
2024-04-27,178792.25204137876,163552.26961815308,192426.56683362936
2024-04-28,178559.26807005654,164142.72314021408,192042.2238802586
2024-04-29,180653.76317839423,167582.03392244608,195679.37437725373
2024-04-30,180704.4612963733,166088.6222593452,194115.4798870286
2024-05-01,180708.42216580323,166342.05607250347,193614.5695971501
2024-05-02,180697.13825116915,166759.5521383595,193858.58474345214
2024-05-03,180872.18939054792,167782.17819530852,195289.81776445275
2024-05-04,178167.2911005852,163818.45613933716,191634.4629080422
2024-05-05,178230.3599555884,163796.58537925224,193640.5733544235
2024-05-06,180589.69184564947,165384.60026302875,194390.55841932597
2024-05-07,180869.80960069646,166829.06020270893,194833.16170483915
2024-05-08,181064.36501822417,167963.8424615321,195289.14217172214
2024-05-09,181202.2956677295,168063.22944700532,195468.5091044935
2024-05-10,181483.52179440003,166263.73726614227,195953.69327153766
2024-05-11,178841.0184621485,164236.09633026583,193083.3694316912
2024-05-12,178922.88594697925,163187.56690747297,193049.15515266953
2024-05-13,181258.51415125813,164996.03066093312,195953.0715360778
2024-05-14,181474.39786821548,166448.24347971086,196220.6122214151
2024-05-15,181566.98864990205,167083.35549146382,196732.91586435065
2024-05-16,181568.78472711192,167465.81041105566,196776.06014454318
2024-05-17,181683.94572129782,166982.49469576185,196389.21328665008
2024-05-18,178850.26902115456,163992.4037055993,193499.34018170324
2024-05-19,178721.15285048223,163556.20129518045,193293.07317441193
2024-05-20,180831.64405743952,166055.77377558948,195968.12502359645
2024-05-21,180814.12991428655,165802.27242797075,195473.81722161354
2024-05-22,180671.06229145802,165332.21264583114,195256.9397357374
2024-05-23,180440.91836391613,163458.98174748002,195492.7361875763
2024-05-24,180333.68734217202,165112.31763288777,196692.40406854133
2024-05-25,177292.72283913544,163020.92402886943,192398.89924553837
2024-05-26,176976.58856591707,161810.74818747796,193227.77312312686
2024-05-27,178924.99792453146,163761.63453378034,195764.80232557282
2024-05-28,178774.4091397199,162773.83440338515,195503.95448526158
2024-05-29,178530.66641055504,162125.089093268,195281.39169977422
