Title,Time,Rink
"삼성카드, 네이버웹툰 카드에 ‘유미의 세포들’ 신규 디자인 추가",2024-04-22,https://n.news.naver.com/mnews/article/243/0000058761?sid=101
"삼성카드, '네이버웹툰 삼성 iD 카드' 유미의 세포들 신규 디자인 추가",2024-04-22,https://n.news.naver.com/mnews/article/018/0005720904?sid=101
"“웹툰의 영화·드라마화 권리, 작가에게 줘야”… 네이버웹툰 등 불공정약관 시정",2024-04-21,https://n.news.naver.com/mnews/article/366/0000987168?sid=101
"박태준만화회사, 신작 '배달왕' 네이버웹툰에 연재",2024-04-22,https://n.news.naver.com/mnews/article/003/0012504310?sid=105
"韓 AI 모델 없다던 스탠포드대…네이버에 ""수정작업 진행 중"" 답변",2024-04-21,https://n.news.naver.com/mnews/article/003/0012503855?sid=105
쿠팡 멤버십 폭탄 인상에 네이버·신세계·컬리 “우리는 무료”,2024-04-22,https://n.news.naver.com/mnews/article/037/0000034296?sid=101
"네이버, C커머스·쿠팡 공세에 AI 추천·당일배송 '승부수'",2024-04-19,https://n.news.naver.com/mnews/article/629/0000282279?sid=105
"한국P&G-네이버, 지구의 날 기념 기부 연계 '생필품 위크' 기획전 개최",2024-04-22,https://n.news.naver.com/mnews/article/421/0007495290?sid=101
"헬스밸런스 스키니랩, 가정의 달 맞이 네이버 쇼핑 라이브 진행",2024-04-22,https://n.news.naver.com/mnews/article/123/0002332429?sid=101
"네이버도착보장, 당일·일요배송 시작",2024-04-18,https://n.news.naver.com/mnews/article/092/0002328377?sid=105
"부산 할머니들 손맛으로 만든 어묵…네이버 해피빈에서 ""앙코르""",2024-04-21,https://n.news.naver.com/mnews/article/001/0014643003?sid=102
"'당일배송·무료교환' 네이버, 쿠팡 이탈자 잡을까",2024-04-20,https://n.news.naver.com/mnews/article/293/0000053695?sid=105
아마존 트위치 문닫자 '184만명' 네이버 치지직으로,2024-04-21,https://n.news.naver.com/mnews/article/031/0000830255?sid=105
"해태아이스 마루 브랜드, 인기 네이버웹툰 '마루는 강쥐'와 협업",2024-04-19,https://n.news.naver.com/mnews/article/421/0007491735?sid=101
"네이버플러스 멤버십, 3개월간 '도착보장' 무료배송",2024-04-15,https://n.news.naver.com/mnews/article/003/0012491268?sid=105
"네이버, 뉴스제휴평가위원회 재개 논의 착수",2024-04-18,https://n.news.naver.com/mnews/article/001/0014638566?sid=105
"네이버, ‘나루토’ 72권 무료대여… ‘24시간 유효’ 꼼수 지적도",2024-04-22,https://n.news.naver.com/mnews/article/020/0003560331?sid=103
"""전국 공항 이용 정보 네이버에서 한눈에""",2024-04-19,https://n.news.naver.com/mnews/article/014/0005173779?sid=101
"""웹툰의 영화·드라마 제작권도 내 거""... 네이버웹툰 '저작권 갑질'",2024-04-21,https://n.news.naver.com/mnews/article/469/0000797125?sid=101
"롯데시네마, 네이버플러스 멤버십 제휴…영화관 최대 40%할인",2024-04-19,https://n.news.naver.com/mnews/article/421/0007491565?sid=101
C커머스 공세에…네이버 AI 상품 추천으로 승부수,2024-04-17,https://n.news.naver.com/mnews/article/003/0012495815?sid=105
실물카드 없어도…출금·적립 '간편 결제'로 해결,2024-04-21,https://n.news.naver.com/mnews/article/015/0004975255?sid=101
"네이버페이, QR송금 서비스 출시",2024-04-18,https://n.news.naver.com/mnews/article/001/0014639896?sid=101
네이버가 어떻게 당일배송을?…최대 무기는 ‘녹색 검색창’이라는데,2024-04-19,https://n.news.naver.com/mnews/article/009/0005290886?sid=101
