Date,yhat,yhat_lower,yhat_upper
2024-04-24,176896.02632643137,171413.04077845052,182601.21786803214
2024-04-25,177192.44900338684,171506.0237579378,182444.72085092345
2024-04-26,177361.55409830966,171512.31354475615,182950.00742617308
2024-04-27,177226.49614762387,171577.9289134016,183133.40480157975
2024-04-28,177349.65884550355,171560.4371332567,182979.5273909676
2024-04-29,177367.46711325576,171369.7927911648,182535.98956071454
2024-04-30,177774.88541050645,172390.50361834723,183282.61324986038
2024-05-01,177766.69562697192,172094.20063782515,183548.93964435396
2024-05-02,178254.0026067284,172664.60106449918,183812.60140384623
2024-05-03,178614.2758324546,172516.06587789356,184477.83619518633
2024-05-04,178666.6509553976,173153.75500729674,184430.7867923724
2024-05-05,178969.9561598091,173271.6000822482,184216.94637992646
2024-05-06,179157.60166570122,173327.47003618177,184988.9744408238
2024-05-07,179722.13602996484,174066.51215278194,185368.7071927587
2024-05-08,179856.56135129178,174305.18787500384,185680.34423839443
2024-05-09,180470.85482797193,174830.92261940002,186515.76179891056
2024-05-10,180942.0052339667,174924.91750046602,186843.68084295283
2024-05-11,181089.2886694513,174880.26912356453,186469.22574908717
2024-05-12,181472.24985083396,175646.47396699784,187203.22303868382
2024-05-13,181725.5290825598,175342.0164734534,187478.26825026126
2024-05-14,182343.3409111605,176211.62729820574,187537.0258329668
2024-05-15,182520.69933552007,176396.71048678723,188531.51618492103
2024-05-16,183169.84013274332,177179.05764690114,188742.25534386697
2024-05-17,183670.15222164846,177601.05449988964,189754.16996890403
2024-05-18,183843.34592065646,177695.17563262192,189559.222934846
2024-05-19,184251.32790382646,177665.54954409445,190429.64469692737
2024-05-20,184530.92646761882,178254.72762931316,190348.60706172002
2024-05-21,185178.27640675483,178552.41407982248,191255.10301098553
2024-05-22,185389.9614002492,178741.5944337632,191219.47926627204
2024-05-23,186079.3671331662,178951.9266007802,192211.85188130045
2024-05-24,186626.5593023151,180386.56555810923,192871.42421430588
